"T_label","method_label","first_rejection_date","trading_gap_from_2020_03_16","stat_over_cv"
1,"RSMS MultiscaleMOSUM (H050_100_200, Equal)","2020-01-31",-30,22.6670665653094
1,"RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-24",-15,43.320305262489
1,"RSMS WeightedCUSUM (gamma=0, InvSqrt)","2020-02-24",-15,30.6228319636128
1,"RSMS PageCUSUM (gamma=0.15)","2020-02-26",-13,19.7038065434997
1,"RSMS PageCUSUM (gamma=0)","2020-02-26",-13,14.9232672449151
1,"HAC WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-27",-12,14.9640709652695
1,"HAC WeightedCUSUM (gamma=0, InvSqrt)","2020-02-27",-12,7.97684836236888
1,"HAC MultiscaleMOSUM (H050_100_200, Equal)","2020-02-27",-12,7.50712023873862
1,"HAC PageCUSUM (gamma=0.15)","2020-03-02",-10,5.46323946758793
1,"HAC PageCUSUM (gamma=0)","2020-03-02",-10,4.33591380116485
2,"RSMS MultiscaleMOSUM (H050_100_200, Equal)","2020-01-31",-30,74.0718871169495
2,"RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-24",-15,47.3263855679015
2,"RSMS WeightedCUSUM (gamma=0, InvSqrt)","2020-02-26",-13,31.4711297441234
2,"RSMS PageCUSUM (gamma=0.15)","2020-02-26",-13,16.6658942915375
2,"HAC WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-27",-12,15.4431121273682
2,"RSMS PageCUSUM (gamma=0)","2020-02-27",-12,10.7994462935737
2,"HAC WeightedCUSUM (gamma=0, InvSqrt)","2020-02-27",-12,9.50916699655156
2,"HAC MultiscaleMOSUM (H050_100_200, Equal)","2020-03-02",-10,18.090820304223
2,"HAC PageCUSUM (gamma=0.15)","2020-03-02",-10,4.99043765575567
2,"HAC PageCUSUM (gamma=0)","2020-03-02",-10,3.50769983287037
2,"SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","2020-03-17",1,1.2800385471518
2,"SSMS MultiscaleMOSUM (H050_100_200, Equal)","2020-03-17",1,1.2796993958244
5,"RSMS MultiscaleMOSUM (H050_100_200, Equal)","2020-01-31",-30,66.8486316453635
5,"RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-24",-15,43.0729956707645
5,"RSMS WeightedCUSUM (gamma=0, InvSqrt)","2020-02-26",-13,26.8553850714021
5,"HAC WeightedCUSUM (gamma=0.15, InvSqrt)","2020-02-27",-12,14.4038604523841
5,"RSMS PageCUSUM (gamma=0.15)","2020-02-27",-12,12.9254450960422
5,"HAC WeightedCUSUM (gamma=0, InvSqrt)","2020-02-28",-11,8.46539181734702
5,"HAC MultiscaleMOSUM (H050_100_200, Equal)","2020-03-02",-10,17.1331836851806
5,"RSMS PageCUSUM (gamma=0)","2020-03-02",-10,7.81418848149614
5,"HAC PageCUSUM (gamma=0.15)","2020-03-02",-10,4.07363353474022
5,"HAC PageCUSUM (gamma=0)","2020-03-06",-6,2.72100172647283
5,"SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","2020-03-17",1,1.17292461418607
5,"SSMS MultiscaleMOSUM (H050_100_200, Equal)","2020-03-17",1,1.1556151641633
